"name","labels"
"AGEGR2","""Pooled Age Group 2"""
"AGEGR3","""Pooled Age Group 3"""
"AGEU","""Age Units"""
"ANL01FL","""Analysis Flag 01 PK
TLG flag"""
"APERIOD","""Period"""
"APERIODC","""Period (C)"""
"ASEQ","""Analysis Sequence
Number"""
"ATM","""Analysis Time"""
"ATPT","""Analysis Timepoint"""
"ATPTN","""Analysis Timepoint (N)"""
"ATPTREF","""Analysis Timepont
Reference"""
"AVAL","""Analysis Value"""
"AVALC","""Analysis Value (C)"""
"AVALU","""Analysis Value Unit"""
"AVISIT","""Analysis Visit"""
"AVISITN","""Analysis Visit (N)"""
"COUNTRY","""Country"""
"DCUTDT","""Date of Data Cut"""
"ETHNIC","""Ethnicity"""
"ITTFL","""Intent-To-Treat
Population Flag"""
"PARAM","""Parameter"""
"PARAMCAT","""Parameter Category"""
"PARAMCD","""Parameter code"""
"PARMINT","""Parameter Interval"""
"PPCAT","""Parameter Category"""
"PPDTC","""Date/Time of
Parameter
Calculations"""
"PPGRPID","""Group ID"""
"PPREASND","""Reason Parameter Not
Calculated"""
"PPROTFL","""Per-Protocol
Population Flag"""
"PPSCAT","""ParameterSubcategory"""
"PPSEQ","""Sequence Number"""
"PPSPEC","""Specimen Material
Type"""
"PPSPID","""Sponsor-Defined
Identifier"""
"PPSTAT","""Completion Status"""
"PPSTRESC","""Character
Result/Finding in Std
Format"""
"PPSTRESN","""Numeric
Result/Finding in
Standard Units"""
"PPSTRESU","""Standard Units"""
"PPTEST","""Parameter Name"""
"PPTESTCD","""Parameter Short
Name"""
"RACE","""Race"""
"REGION1","""Geographic Region
Grouping 1"""
"SAFFL","""Safety Population Flag"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STRATy","""Value of Randomized
Stratum y"""
"STRATyNM","""Description of
Randomized Stratum y"""
"STRATyV","""Value of Verified
Stratum y"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for
the Study"""
"TRT01A","""Actual Treatment for
Period xx"""
"TRT01P","""Planned Treatment for
Period 01"""
"TRTEDT","""Date of Last Exposure
to Treatment"""
"TRTEDTM","""Datetime of Last
Exposure to Treatment"""
"TRTSDT","""Date of First Exposure
to Treatment"""
"TRTSDTM","""Datetime of First
Exposure to Treatment"""
"TRTSEQA","""Actual Sequence of
Treatments"""
"TRTSEQP","""Planned Sequence of
Treatments"""
"TRTxxA","""Actual Treatment for
Period xx"""
"TRTxxP","""Planned Treatment for
Period xx"""
"USUBJID","""Unique Subject
Identifier"""
"AEACN","""Action Taken with Study Treatment"""
"AEACN1","""Action Taken with Study Treatment 1"""
"AEACNOT1","""Other Action Taken 1"""
"AEACNOTH","""Other Action Taken"""
"AEASOD","""Accidental Overdose?"""
"AEBDSYCD","""Body System or Organ Class Code"""
"AEBODSYS","""Body System or Organ Class"""
"AECAT","""Category for Adverse Event"""
"AECONCST","""Treatment for AE-Corticosteroid"""
"AECONTRT","""Concomitant or Additional Trtmnt Given"""
"AEDECOD","""Dictionary-Derived Term"""
"AEDTHDTC","""Death Date"""
"AEENDTC","""End Date/Time of Adverse Event"""
"AEENDY","""Study Day of End of Adverse Event"""
"AEENRTPT","""End Relative to Reference Time Point"""
"AEENTPT","""End Reference Time Point"""
"AEEXP","""Expedited Adverse Event"""
"AEGRPID","""Group ID"""
"AEHLGT","""High Level Group Term"""
"AEHLGTCD","""High Level Group Term Code"""
"AEHLT","""High Level Term"""
"AEHLTCD","""High Level Term Code"""
"AEITOXGR","""Initial Toxicity Grade"""
"AELLT","""Lowest Level Term"""
"AELLTCD","""Lowest Level Term Code"""
"AEMEDERR","""Medication Error?"""
"AEMODIFY","""Modified Reported Term"""
"AEOCCRF","""Event Occurrence Reference Time Point"""
"AEOUT","""Outcome of Adverse Event"""
"AEPTCD","""Preferred Term Code"""
"AEREFID","""Reference ID"""
"AEREL","""Causality"""
"AEREL1","""Causality: Study Drug 1"""
"AERELNS1","""Relationship to Non-Study Treatment 1"""
"AERELNS2","""Relationship to Non-Study Treatment 2"""
"AERELNS3","""Relationship to Non-Study Treatment 3"""
"AERELNS4","""Relationship to Non-Study Treatment 4"""
"AERELNS5","""Relationship to Non-Study Treatment 5"""
"AERELNS6","""Relationship to Non-Study Treatment 6"""
"AERELNS7","""Relationship to Non-Study Treatment 7"""
"AERELNST","""Relationship to Non-Study Treatment"""
"AESCAT","""Subcategory for Adverse Event"""
"AESCONG","""Congenital Anomaly or Birth Defect"""
"AESDISAB","""Persist or Signif Disability/Incapacity"""
"AESDTH","""Results in Death"""
"AESEQ","""Sequence Number"""
"AESER","""Serious Event"""
"AESHOSP","""Requires or Prolongs Hospitalization"""
"AESLIFE","""Is Life Threatening"""
"AESMIE","""Other Medically Important Serious Event"""
"AESOC","""Primary System Organ Class"""
"AESOCCD","""Primary System Organ Class Code"""
"AESPID","""Sponsor-Defined Identifier"""
"AESTDTC","""Start Date/Time of Adverse Event"""
"AESTDY","""Study Day of Start of Adverse Event"""
"AESTRTPT","""Start Relative to Reference Time Point"""
"AESTTPT","""Start Reference Time Point"""
"AETERM","""Reported Term for the Adverse Event"""
"AETOXGR","""Standard Toxicity Grade"""
"AETRTEM","""Treatment Emergent Flag"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"BECAT","""Category for Biospecimen Event"""
"BEDECOD","""Dictionary-Derived Term"""
"BEDTC","""Date/Time of Specimen Collection"""
"BEDY","""Study Day of Visit/Collection/Exam"""
"BEENDTC","""End Date/Time of Biospecimen Event"""
"BEENDY","""Study Day of End of Biospecimen Event"""
"BEOCCUR","""Occurrence"""
"BEPRESP","""Pre-specified"""
"BEREFID","""Reference ID"""
"BESCAT","""Subcategory for Biospecimen Event"""
"BESEQ","""Sequence Number"""
"BESPEC","""Specimen Material Type"""
"BESPID","""Sponsor-Defined Identifier"""
"BESTDTC","""Start Date/Time of Biospecimen Event"""
"BESTDY","""Study Day of Start of Biospecimen Event"""
"BETERM","""Reported Term for the Biospecimen Event"""
"BETPT","""Planned Time Point Name"""
"BETPTNUM","""Planned Time Point Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"BSBLFL","""Baseline Flag"""
"BSCAT","""Category for Biospecimen Test"""
"BSDTC","""Date/Time of Specimen Collection"""
"BSDY","""Study Day of Specimen Collection"""
"BSELTM","""Planned Elapsed Time from Time Point Ref"""
"BSENDTC","""End Date/Time of Biospecimen Findings"""
"BSENDY","""Study Day of End of Biospecimen Findings"""
"BSORRES","""Result or Finding in Original Units"""
"BSORRESU","""Original Units"""
"BSREFID","""Reference ID"""
"BSRFTDTC","""Date/Time of Reference Time Point"""
"BSSCAT","""Subcategory for Biospecimen Test"""
"BSSEQ","""Sequence Number"""
"BSSPEC","""Specimen Type"""
"BSSPID","""Sponsor-Defined Identifier"""
"BSSTRESC","""Character Result/Finding in Std Format"""
"BSSTRESN","""Numeric Result/Finding in Standard Units"""
"BSSTRESU","""Standard Units"""
"BSTEST","""Biospecimen Test Name"""
"BSTESTCD","""Biospecimen Test Short Name"""
"BSTPT","""Planned Time Point Name"""
"BSTPTNUM","""Planned Time Point Number"""
"BSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CEBDSYCD","""Body System or Organ Class Code"""
"CEBODSYS","""Body System or Organ Class"""
"CECAT","""Category for Clinical Event"""
"CEDECOD","""Dictionary-Derived Term"""
"CEDTC","""Date/Time of Event Collection"""
"CEDY","""Study Day of Event Collection"""
"CEENDTC","""End Date/Time of Clinical Event"""
"CEENDY","""Study Day of End of Observation"""
"CEGRPID","""Group ID"""
"CEHLGT","""High Level Group Term"""
"CEHLGTCD","""High Level Group Term Code"""
"CEHLT","""High Level Term"""
"CEHLTCD","""High Level Term Code"""
"CEITOXGR","""Initial Toxicity Grade"""
"CELLT","""Lowest Level Term"""
"CELLTCD","""Lowest Level Term Code"""
"CEMODIFY","""Modified Reported Term"""
"CEPTCD","""Preferred Term Code"""
"CESEQ","""Sequence Number"""
"CESER","""Serious Event"""
"CESOC","""Primary System Organ Class"""
"CESOCCD","""Primary System Organ Class Code"""
"CESPID","""Sponsor-Defined Identifier"""
"CESTDTC","""Start Date/Time of Clinical Event"""
"CESTDY","""Study Day of Start of Observation"""
"CETERM","""Reported Term for the Clinical Event"""
"CETOXGR","""Toxicity Grade"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"CMCAT","""Category for Medication"""
"CMDECOD","""Standardized Medication Name"""
"CMDECOD1","""Standardized Medication Name 1"""
"CMDECOD2","""Standardized Medication Name 2"""
"CMDECOD3","""Standardized Medication Name 3"""
"CMDECOD4","""Standardized Medication Name 4"""
"CMDECOD5","""Standardized Medication Name 5"""
"CMDECOD6","""Standardized Medication Name 6"""
"CMDECOD7","""Standardized Medication Name 7"""
"CMDOSE","""Dose per Administration"""
"CMDOSFRM","""Dose Form"""
"CMDOSFRQ","""Dosing Frequency per Interval"""
"CMDOSTOT","""Total Daily Dose"""
"CMDOSU","""Dose Units"""
"CMDRG","""Synonym Medication Name"""
"CMDRG1","""Synonym Medication Name 1"""
"CMDRG2","""Synonym Medication Name 2"""
"CMDRG3","""Synonym Medication Name 3"""
"CMDRG4","""Synonym Medication Name 4"""
"CMDRG5","""Synonym Medication Name 5"""
"CMDRG6","""Synonym Medication Name 6"""
"CMDRG7","""Synonym Medication Name 7"""
"CMDRGCD","""Synonym Medication Name Code"""
"CMELTM","""Planned Elapsed Time from Time Point Ref"""
"CMENDTC","""End Date/Time of Medication"""
"CMENDY","""Study Day of End of Medication"""
"CMENRTPT","""End Relative to Reference Time Point"""
"CMENTPT","""End Reference Time Point"""
"CMGRPID","""Group ID"""
"CMINDC","""Indication"""
"CMLAT","""Laterality"""
"CMLOC","""Location of Dose Administration"""
"CMMODIF1","""Modified Reported Name 1"""
"CMMODIF2","""Modified Reported Name 2"""
"CMMODIF3","""Modified Reported Name 3"""
"CMMODIF4","""Modified Reported Name 4"""
"CMMODIF5","""Modified Reported Name 5"""
"CMMODIF6","""Modified Reported Name 6"""
"CMMODIF7","""Modified Reported Name 7"""
"CMMODIFY","""Modified Reported Name"""
"CMOCCUR","""CM Occurrence"""
"CMPNCD","""Standardized Medication Name Code"""
"CMPRESP","""CM Pre-Specified"""
"CMPROPH","""Given for prophylaxis"""
"CMREFID","""Reference ID"""
"CMROUTE","""Route of Administration"""
"CMSEQ","""Sequence Number"""
"CMSPID","""Sponsor-Defined Identifier"""
"CMSTDTC","""Start Date/Time of Medication"""
"CMSTDY","""Study Day of Start of Medication"""
"CMSTRTPT","""Start Relative to Reference Time Point"""
"CMSTTPT","""Start Reference Time Point"""
"CMTPTREF","""Time Point Reference"""
"CMTRT","""Reported Name of Drug, Med, or Therapy"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CODTC","""Date/Time of Comment"""
"CODY","""Study Day of Visit/Collection/Exam"""
"COEVAL","""Evaluator"""
"COREF","""Comment Reference"""
"COSEQ","""Sequence Number"""
"COVAL","""Comment"""
"DOMAIN","""Domain Abbreviation"""
"IDVAR","""Identifying Variable"""
"IDVARVAL","""Identifying Variable Value"""
"RDOMAIN","""Related Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"ACTARM","""Description of Actual Arm"""
"ACTARMCD","""Actual Arm Code"""
"AGE","""Age"""
"AGEU","""Age Units"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"BRTHDTC","""Date/Time of Birth"""
"COUNTRY","""Country"""
"DMDTC","""Date/Time of Collection"""
"DMDY","""Study Day of Collection"""
"DOMAIN","""Domain Abbreviation"""
"DTHDTC","""Date/Time of Death"""
"DTHFL","""Subject Death Flag"""
"ETHNIC","""Ethnicity"""
"INVID","""Investigator Identifier"""
"INVNAM","""Investigator Name"""
"RACE","""Race"""
"RACE1","""Race 1"""
"RACE2","""Race 2"""
"RACE3","""Race 3"""
"RACE4","""Race 4"""
"RACE5","""Race 5"""
"RACESP1","""Race Origin - Asian"""
"RACESP2","""Race Origin - Native Hawaiian"""
"RANDID","""Randomization ID"""
"RFENDTC","""Subject Reference End Date/Time"""
"RFICDTC","""Date/Time of Informed Consent"""
"RFPENDTC","""Date/Time of End of Participation"""
"RFSTDTC","""Subject Reference Start Date/Time"""
"RFXENDTC","""Date/Time of Last Study Treatment"""
"RFXSTDTC","""Date/Time of First Study Treatment"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DSCAT","""Category for Disposition Event"""
"DSDECOD","""Standardized Disposition Term"""
"DSDTC","""Date/Time of Collection"""
"DSDY","""Study Day of Visit/Collection/Exam"""
"DSSCAT","""Subcategory for Disposition Event"""
"DSSEQ","""Sequence Number"""
"DSSPID","""Sponsor-Defined Identifier"""
"DSSTDTC","""Start Date/Time of Disposition Event"""
"DSSTDY","""Study Day of Start of Disposition Event"""
"DSTERM","""Reported Term for the Disposition Event"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DVCAT","""Category for Protocol Deviation"""
"DVDECOD","""Protocol Deviation Coded Term"""
"DVEPRELI","""Epi/Pandemic Related Indicator"""
"DVREAS","""Reason for Deviation"""
"DVREFID","""Reference ID"""
"DVSEQ","""Sequence Number"""
"DVSPID","""Sponsor-Defined Identifier"""
"DVSTDTC","""Start Date/Time of Deviation"""
"DVSTDY","""Study Day of Start of Deviation"""
"DVTERM","""Protocol Deviation Term"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"ECDOSE","""Dose"""
"ECDOSFRM","""Dose Form"""
"ECDOSFRQ","""Dosing Frequency per Interval"""
"ECDOSU","""Dose Units"""
"ECENDTC","""End Date/Time of Treatment"""
"ECENDY","""Study Day of End of Treatment"""
"ECLAT","""Laterality"""
"ECLNKGRP","""Link Group ID"""
"ECLNKID","""Link ID"""
"ECLOC","""Location of Dose Administration"""
"ECMOOD","""Mood"""
"ECOCCUR","""Occurrence"""
"ECPRESP","""Pre-Specified"""
"ECPSTRG","""Pharmaceutical Strength"""
"ECPSTRGU","""Pharmaceutical Strength Units"""
"ECREASOC","""Reason for Study Drug Not Administered"""
"ECROUTE","""Route of Administration"""
"ECSEQ","""Sequence Number"""
"ECSPID","""Sponsor-Defined Identifier"""
"ECSTDTC","""Start Date/Time of Treatment"""
"ECSTDY","""Study Day of Start of Treatment"""
"ECTRT","""Name of Treatment"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EGBLFL","""Baseline Flag"""
"EGCLSIG","""Clinically Significant"""
"EGDTC","""Date/Time of ECG"""
"EGDY","""Study Day of ECG"""
"EGELTM","""Planned Elapsed Time from Time Point Ref"""
"EGEVAL","""Evaluator"""
"EGGRPID","""Group ID"""
"EGMETHOD","""Method of ECG Test"""
"EGORRES","""Result or Finding in Original Units"""
"EGORRESU","""Original Units"""
"EGPOS","""ECG Position of Subject"""
"EGREFID","""ECG Reference ID"""
"EGRESTYN","""ECG Resting Status of Subject"""
"EGRFTDTC","""Date/Time of Reference Time Point"""
"EGSEQ","""Sequence Number"""
"EGSPID","""Sponsor-Defined Identifier"""
"EGSTAT","""Completion Status"""
"EGSTRESC","""Character Result/Finding in Std Format"""
"EGSTRESN","""Numeric Result/Finding in Standard Units"""
"EGSTRESU","""Standard Units"""
"EGTEST","""ECG Test or Examination Name"""
"EGTESTCD","""ECG Test or Examination Short Name"""
"EGTPT","""Planned Time Point Name"""
"EGTPTNUM","""Planned Time Point Number"""
"EGTPTREF","""Time Point Reference"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"EXADJ","""Reason for Dose Adjustment"""
"EXDOSE","""Dose"""
"EXDOSFRM","""Dose Form"""
"EXDOSFRQ","""Dosing Frequency per Interval"""
"EXDOSU","""Dose Units"""
"EXENDTC","""End Date/Time of Treatment"""
"EXENDY","""Study Day of End of Treatment"""
"EXLAT","""Laterality"""
"EXLNKGRP","""Link Group ID"""
"EXLNKID","""Link ID"""
"EXLOC","""Location of Dose Administration"""
"EXROUTE","""Route of Administration"""
"EXSEQ","""Sequence Number"""
"EXSPID","""Sponsor-Defined Identifier"""
"EXSTDTC","""Start Date/Time of Treatment"""
"EXSTDY","""Study Day of Start of Treatment"""
"EXTRT","""Name of Treatment"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"FABLFL","""Baseline Flag"""
"FACAT","""Category for Findings About"""
"FADTC","""Date/Time of Collection"""
"FADY","""Study Day of Collection"""
"FAECADJ","""Reason for Dose Modification"""
"FAENDTC","""End Date/Time of Observation"""
"FAENDY","""Study Day of End of Observation"""
"FAGRPID","""Group ID"""
"FAOBJ","""Object of the Observation"""
"FAORRES","""Result or Finding in Original Units"""
"FAORRESU","""Original Units"""
"FAREFID","""Reference ID"""
"FASEQ","""Sequence Number"""
"FASPID","""Sponsor-Defined Identifier"""
"FASTDTC","""Start Date/Time of Observation"""
"FASTDY","""Study Day of Start of Observation"""
"FASTRESC","""Character Result/Finding in Std Format"""
"FASTRESN","""Numeric Result/Finding in Standard Units"""
"FASTRESU","""Standard Units"""
"FATEST","""Findings About Test Name"""
"FATESTCD","""Findings About Test Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"HOCAT","""Category for Healthcare Encounter"""
"HODECOD","""Dictionary-Derived Term"""
"HOENDTC","""End Date/Time of Healthcare Encounter"""
"HOENDY","""Study Day of End of Healthcare Encounter"""
"HOENRTPT","""End Relative to Reference Time Point"""
"HOGRPID","""Group ID"""
"HOOCCUR","""Healthcare Encounter Occurrence"""
"HOPRESP","""Pre-Specified Healthcare Encounter"""
"HOSEQ","""Sequence Number"""
"HOSPID","""Sponsor-Defined Identifier"""
"HOSTDTC","""Start Date/Time of Healthcare Encounter"""
"HOSTDY","""Study Day of Start of Observation"""
"HOTERM","""Reported Term for Healthcare Encounter"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"LBBLFL","""Baseline Flag"""
"LBCAT","""Category for Lab Test"""
"LBCLSIG","""Clinically Significant"""
"LBCVNRHI","""Reference Range Upper Limit-US CV Units"""
"LBCVNRLO","""Reference Range Lower Limit-US CV Units"""
"LBCVRESC","""Character Result/Finding in US CV Format"""
"LBCVRESU","""US Conventional Units"""
