FOLDER,DOMAIN,VARIABLE,LABEL
BP41732S,AE,AESLIFE,Is Life Threatening
BP41732S,AE,AESMIE,Other Medically Important Serious Event
BP41732S,AE,AESOC,Primary System Organ Class
BP41732S,AE,AESOCCD,Primary System Organ Class Code
BP41732S,AE,AESPID,Sponsor-Defined Identifier
BP41732S,AE,AESTDTC,Start Date/Time of Adverse Event
BP41732S,AE,AESTDY,Study Day of Start of Adverse Event
BP41732S,AE,AESTRTPT,Start Relative to Reference Time Point
BP41732S,AE,AESTTPT,Start Reference Time Point
BP41732S,AE,AETERM,Reported Term for the Adverse Event
BP41732S,AE,AETOXGR,Standard Toxicity Grade
BP41732S,AE,AETRTEM,Treatment Emergent Flag
BP41732S,AE,DOMAIN,Domain Abbreviation
BP41732S,AE,EPOCH,Epoch
BP41732S,AE,STUDYID,Study Identifier
BP41732S,AE,USUBJID,Unique Subject Identifier
BP41732S,BE,BECAT,Category for Biospecimen Event
BP41732S,BE,BEDECOD,Dictionary-Derived Term
BP41732S,BE,BEDTC,Date/Time of Specimen Collection
BP41732S,BE,BEDY,Study Day of Visit/Collection/Exam
BP41732S,BE,BEENDTC,End Date/Time of Biospecimen Event
BP41732S,BE,BEENDY,Study Day of End of Biospecimen Event
BP41732S,BE,BEOCCUR,Occurrence
BP41732S,BE,BEPRESP,Pre-specified
BP41732S,BE,BEREFID,Reference ID
BP41732S,BE,BESCAT,Subcategory for Biospecimen Event
BP41732S,BE,BESEQ,Sequence Number
BP41732S,BE,BESPEC,Specimen Material Type
BP41732S,BE,BESPID,Sponsor-Defined Identifier
BP41732S,BE,BESTDTC,Start Date/Time of Biospecimen Event
BP41732S,BE,BESTDY,Study Day of Start of Biospecimen Event
BP41732S,BE,BETERM,Reported Term for the Biospecimen Event
BP41732S,BE,BETPT,Planned Time Point Name
BP41732S,BE,BETPTNUM,Planned Time Point Number
BP41732S,BE,DOMAIN,Domain Abbreviation
BP41732S,BE,EPOCH,Epoch
BP41732S,BE,STUDYID,Study Identifier
BP41732S,BE,USUBJID,Unique Subject Identifier
BP41732S,BE,VISIT,Visit Name
BP41732S,BE,VISITDY,Planned Study Day of Visit
BP41732S,BE,VISITNUM,Visit Number
BP41732S,BS,BSBLFL,Baseline Flag
BP41732S,BS,BSCAT,Category for Biospecimen Test
BP41732S,BS,BSDTC,Date/Time of Specimen Collection
BP41732S,BS,BSDY,Study Day of Specimen Collection
BP41732S,BS,BSELTM,Planned Elapsed Time from Time Point Ref
BP41732S,BS,BSENDTC,End Date/Time of Biospecimen Findings
BP41732S,BS,BSENDY,Study Day of End of Biospecimen Findings
BP41732S,BS,BSORRES,Result or Finding in Original Units
BP41732S,BS,BSORRESU,Original Units
BP41732S,BS,BSREFID,Reference ID
BP41732S,BS,BSRFTDTC,Date/Time of Reference Time Point
BP41732S,BS,BSSCAT,Subcategory for Biospecimen Test
BP41732S,BS,BSSEQ,Sequence Number
BP41732S,BS,BSSPEC,Specimen Type
BP41732S,BS,BSSPID,Sponsor-Defined Identifier
BP41732S,BS,BSSTRESC,Character Result/Finding in Std Format
BP41732S,BS,BSSTRESN,Numeric Result/Finding in Standard Units
BP41732S,BS,BSSTRESU,Standard Units
BP41732S,BS,BSTEST,Biospecimen Test Name
BP41732S,BS,BSTESTCD,Biospecimen Test Short Name
BP41732S,BS,BSTPT,Planned Time Point Name
BP41732S,BS,BSTPTNUM,Planned Time Point Number
BP41732S,BS,BSTPTREF,Time Point Reference
BP41732S,BS,DOMAIN,Domain Abbreviation
BP41732S,BS,EPOCH,Epoch
BP41732S,BS,STUDYID,Study Identifier
BP41732S,BS,USUBJID,Unique Subject Identifier
BP41732S,BS,VISIT,Visit Name
BP41732S,BS,VISITDY,Planned Study Day of Visit
BP41732S,BS,VISITNUM,Visit Number
BP41732S,CE,CEBDSYCD,Body System or Organ Class Code
BP41732S,CE,CEBODSYS,Body System or Organ Class
BP41732S,CE,CECAT,Category for Clinical Event
BP41732S,CE,CEDECOD,Dictionary-Derived Term
BP41732S,CE,CEDTC,Date/Time of Event Collection
BP41732S,CE,CEDY,Study Day of Event Collection
BP41732S,CE,CEENDTC,End Date/Time of Clinical Event
BP41732S,CE,CEENDY,Study Day of End of Observation
BP41732S,CE,CEGRPID,Group ID
BP41732S,CE,CEHLGT,High Level Group Term
BP41732S,CE,CEHLGTCD,High Level Group Term Code
BP41732S,CE,CEHLT,High Level Term
BP41732S,CE,CEHLTCD,High Level Term Code
BP41732S,CE,CEITOXGR,Initial Toxicity Grade
BP41732S,CE,CELLT,Lowest Level Term
BP41732S,CE,CELLTCD,Lowest Level Term Code
BP41732S,CE,CEMODIFY,Modified Reported Term
BP41732S,CE,CEPTCD,Preferred Term Code
BP41732S,CE,CESEQ,Sequence Number
BP41732S,CE,CESER,Serious Event
BP41732S,CE,CESOC,Primary System Organ Class
BP41732S,CE,CESOCCD,Primary System Organ Class Code
BP41732S,CE,CESPID,Sponsor-Defined Identifier
BP41732S,CE,CESTDTC,Start Date/Time of Clinical Event
BP41732S,CE,CESTDY,Study Day of Start of Observation
BP41732S,CE,CETERM,Reported Term for the Clinical Event
BP41732S,CE,CETOXGR,Toxicity Grade
BP41732S,CE,DOMAIN,Domain Abbreviation
BP41732S,CE,EPOCH,Epoch
BP41732S,CE,STUDYID,Study Identifier
BP41732S,CE,USUBJID,Unique Subject Identifier
BP41732S,CM,CMCAT,Category for Medication
BP41732S,CM,CMDECOD,Standardized Medication Name
BP41732S,CM,CMDECOD1,Standardized Medication Name 1
BP41732S,CM,CMDECOD2,Standardized Medication Name 2
BP41732S,CM,CMDECOD3,Standardized Medication Name 3
BP41732S,CM,CMDECOD4,Standardized Medication Name 4
BP41732S,CM,CMDECOD5,Standardized Medication Name 5
BP41732S,CM,CMDECOD6,Standardized Medication Name 6
BP41732S,CM,CMDECOD7,Standardized Medication Name 7
BP41732S,CM,CMDOSE,Dose per Administration
BP41732S,CM,CMDOSFRM,Dose Form
BP41732S,CM,CMDOSFRQ,Dosing Frequency per Interval
BP41732S,CM,CMDOSTOT,Total Daily Dose
BP41732S,CM,CMDOSU,Dose Units
BP41732S,CM,CMDRG,Synonym Medication Name
BP41732S,CM,CMDRG1,Synonym Medication Name 1
BP41732S,CM,CMDRG2,Synonym Medication Name 2
BP41732S,CM,CMDRG3,Synonym Medication Name 3
BP41732S,CM,CMDRG4,Synonym Medication Name 4
BP41732S,CM,CMDRG5,Synonym Medication Name 5
BP41732S,CM,CMDRG6,Synonym Medication Name 6
BP41732S,CM,CMDRG7,Synonym Medication Name 7
BP41732S,CM,CMDRGCD,Synonym Medication Name Code
BP41732S,CM,CMELTM,Planned Elapsed Time from Time Point Ref
BP41732S,CM,CMENDTC,End Date/Time of Medication
BP41732S,CM,CMENDY,Study Day of End of Medication
BP41732S,CM,CMENRTPT,End Relative to Reference Time Point
BP41732S,CM,CMENTPT,End Reference Time Point
BP41732S,CM,CMGRPID,Group ID
BP41732S,CM,CMINDC,Indication
BP41732S,CM,CMLAT,Laterality
BP41732S,CM,CMLOC,Location of Dose Administration
BP41732S,CM,CMMODIF1,Modified Reported Name 1
BP41732S,CM,CMMODIF2,Modified Reported Name 2
BP41732S,CM,CMMODIF3,Modified Reported Name 3
BP41732S,CM,CMMODIF4,Modified Reported Name 4
BP41732S,CM,CMMODIF5,Modified Reported Name 5
BP41732S,CM,CMMODIF6,Modified Reported Name 6
BP41732S,CM,CMMODIF7,Modified Reported Name 7
BP41732S,CM,CMMODIFY,Modified Reported Name
BP41732S,CM,CMOCCUR,CM Occurrence
BP41732S,CM,CMPNCD,Standardized Medication Name Code
BP41732S,CM,CMPRESP,CM Pre-Specified
BP41732S,CM,CMPROPH,Given for prophylaxis
BP41732S,CM,CMREFID,Reference ID
BP41732S,CM,CMROUTE,Route of Administration
BP41732S,CM,CMSEQ,Sequence Number
BP41732S,CM,CMSPID,Sponsor-Defined Identifier
BP41732S,CM,CMSTDTC,Start Date/Time of Medication
BP41732S,CM,CMSTDY,Study Day of Start of Medication
BP41732S,CM,CMSTRTPT,Start Relative to Reference Time Point
BP41732S,CM,CMSTTPT,Start Reference Time Point
BP41732S,CM,CMTPTREF,Time Point Reference
BP41732S,CM,CMTRT,"Reported Name of Drug, Med, or Therapy"
BP41732S,CM,DOMAIN,Domain Abbreviation
BP41732S,CM,EPOCH,Epoch
BP41732S,CM,STUDYID,Study Identifier
BP41732S,CM,USUBJID,Unique Subject Identifier
BP41732S,CM,VISIT,Visit Name
BP41732S,CM,VISITDY,Planned Study Day of Visit
BP41732S,CM,VISITNUM,Visit Number
BP41732S,CO,CODTC,Date/Time of Comment
BP41732S,CO,CODY,Study Day of Visit/Collection/Exam
BP41732S,CO,COEVAL,Evaluator
BP41732S,CO,COREF,Comment Reference
BP41732S,CO,COSEQ,Sequence Number
BP41732S,CO,COVAL,Comment
BP41732S,CO,DOMAIN,Domain Abbreviation
BP41732S,CO,IDVAR,Identifying Variable
BP41732S,CO,IDVARVAL,Identifying Variable Value
BP41732S,CO,RDOMAIN,Related Domain Abbreviation
BP41732S,CO,STUDYID,Study Identifier
BP41732S,CO,USUBJID,Unique Subject Identifier
BP41732S,DM,ACTARM,Description of Actual Arm
BP41732S,DM,ACTARMCD,Actual Arm Code
BP41732S,DM,AGE,Age
BP41732S,DM,AGEU,Age Units
BP41732S,DM,ARM,Description of Planned Arm
BP41732S,DM,ARMCD,Planned Arm Code
BP41732S,DM,BRTHDTC,Date/Time of Birth
BP41732S,DM,COUNTRY,Country
BP41732S,DM,DMDTC,Date/Time of Collection
BP41732S,DM,DMDY,Study Day of Collection
BP41732S,DM,DOMAIN,Domain Abbreviation
BP41732S,DM,DTHDTC,Date/Time of Death
BP41732S,DM,DTHFL,Subject Death Flag
BP41732S,DM,ETHNIC,Ethnicity
BP41732S,DM,INVID,Investigator Identifier
BP41732S,DM,INVNAM,Investigator Name
BP41732S,DM,RACE,Race
BP41732S,DM,RACE1,Race 1
BP41732S,DM,RACE2,Race 2
BP41732S,DM,RACE3,Race 3
BP41732S,DM,RACE4,Race 4
BP41732S,DM,RACE5,Race 5
BP41732S,DM,RACESP1,Race Origin - Asian
BP41732S,DM,RACESP2,Race Origin - Native Hawaiian
BP41732S,DM,RANDID,Randomization ID
BP41732S,DM,RFENDTC,Subject Reference End Date/Time
BP41732S,DM,RFICDTC,Date/Time of Informed Consent
BP41732S,DM,RFPENDTC,Date/Time of End of Participation
BP41732S,DM,RFSTDTC,Subject Reference Start Date/Time
BP41732S,DM,RFXENDTC,Date/Time of Last Study Treatment
BP41732S,DM,RFXSTDTC,Date/Time of First Study Treatment
BP41732S,DM,SEX,Sex
BP41732S,DM,SITEID,Study Site Identifier
BP41732S,DM,STUDYID,Study Identifier
BP41732S,DM,SUBJID,Subject Identifier for the Study
BP41732S,DM,USUBJID,Unique Subject Identifier
BP41732S,DS,DOMAIN,Domain Abbreviation
BP41732S,DS,DSCAT,Category for Disposition Event
BP41732S,DS,DSDECOD,Standardized Disposition Term
BP41732S,DS,DSDTC,Date/Time of Collection
BP41732S,DS,DSDY,Study Day of Visit/Collection/Exam
BP41732S,DS,DSSCAT,Subcategory for Disposition Event
BP41732S,DS,DSSEQ,Sequence Number
BP41732S,DS,DSSPID,Sponsor-Defined Identifier
BP41732S,DS,DSSTDTC,Start Date/Time of Disposition Event
BP41732S,DS,DSSTDY,Study Day of Start of Disposition Event
BP41732S,DS,DSTERM,Reported Term for the Disposition Event
BP41732S,DS,EPOCH,Epoch
BP41732S,DS,STUDYID,Study Identifier
BP41732S,DS,USUBJID,Unique Subject Identifier
BP41732S,DV,DOMAIN,Domain Abbreviation
BP41732S,DV,DVCAT,Category for Protocol Deviation
BP41732S,DV,DVDECOD,Protocol Deviation Coded Term
BP41732S,DV,DVEPRELI,Epi/Pandemic Related Indicator
BP41732S,DV,DVREAS,Reason for Deviation
BP41732S,DV,DVREFID,Reference ID
BP41732S,DV,DVSEQ,Sequence Number
BP41732S,DV,DVSPID,Sponsor-Defined Identifier
BP41732S,DV,DVSTDTC,Start Date/Time of Deviation
BP41732S,DV,DVSTDY,Study Day of Start of Deviation
BP41732S,DV,DVTERM,Protocol Deviation Term
BP41732S,DV,EPOCH,Epoch
BP41732S,DV,STUDYID,Study Identifier
BP41732S,DV,USUBJID,Unique Subject Identifier
BP41732S,EC,DOMAIN,Domain Abbreviation
BP41732S,EC,ECDOSE,Dose
BP41732S,EC,ECDOSFRM,Dose Form
BP41732S,EC,ECDOSFRQ,Dosing Frequency per Interval
BP41732S,EC,ECDOSU,Dose Units
BP41732S,EC,ECENDTC,End Date/Time of Treatment
BP41732S,EC,ECENDY,Study Day of End of Treatment
BP41732S,EC,ECLAT,Laterality
BP41732S,EC,ECLNKGRP,Link Group ID
BP41732S,EC,ECLNKID,Link ID
BP41732S,EC,ECLOC,Location of Dose Administration
BP41732S,EC,ECMOOD,Mood
BP41732S,EC,ECOCCUR,Occurrence
BP41732S,EC,ECPRESP,Pre-Specified
BP41732S,EC,ECPSTRG,Pharmaceutical Strength
BP41732S,EC,ECPSTRGU,Pharmaceutical Strength Units
BP41732S,EC,ECREASOC,Reason for Study Drug Not Administered
BP41732S,EC,ECROUTE,Route of Administration
BP41732S,EC,ECSEQ,Sequence Number
BP41732S,EC,ECSPID,Sponsor-Defined Identifier
BP41732S,EC,ECSTDTC,Start Date/Time of Treatment
BP41732S,EC,ECSTDY,Study Day of Start of Treatment
BP41732S,EC,ECTRT,Name of Treatment
BP41732S,EC,EPOCH,Epoch
BP41732S,EC,STUDYID,Study Identifier
BP41732S,EC,USUBJID,Unique Subject Identifier
BP41732S,EC,VISIT,Visit Name
BP41732S,EC,VISITDY,Planned Study Day of Visit
BP41732S,EC,VISITNUM,Visit Number
BP41732S,EG,DOMAIN,Domain Abbreviation
BP41732S,EG,EGBLFL,Baseline Flag
BP41732S,EG,EGCLSIG,Clinically Significant
BP41732S,EG,EGDTC,Date/Time of ECG
BP41732S,EG,EGDY,Study Day of ECG
BP41732S,EG,EGELTM,Planned Elapsed Time from Time Point Ref
BP41732S,EG,EGEVAL,Evaluator
BP41732S,EG,EGGRPID,Group ID
BP41732S,EG,EGMETHOD,Method of ECG Test
BP41732S,EG,EGORRES,Result or Finding in Original Units
BP41732S,EG,EGORRESU,Original Units
BP41732S,EG,EGPOS,ECG Position of Subject
BP41732S,EG,EGREFID,ECG Reference ID
BP41732S,EG,EGRESTYN,ECG Resting Status of Subject
BP41732S,EG,EGRFTDTC,Date/Time of Reference Time Point
BP41732S,EG,EGSEQ,Sequence Number
BP41732S,EG,EGSPID,Sponsor-Defined Identifier
BP41732S,EG,EGSTAT,Completion Status
BP41732S,EG,EGSTRESC,Character Result/Finding in Std Format
BP41732S,EG,EGSTRESN,Numeric Result/Finding in Standard Units
BP41732S,EG,EGSTRESU,Standard Units
BP41732S,EG,EGTEST,ECG Test or Examination Name
BP41732S,EG,EGTESTCD,ECG Test or Examination Short Name
BP41732S,EG,EGTPT,Planned Time Point Name
BP41732S,EG,EGTPTNUM,Planned Time Point Number
BP41732S,EG,EGTPTREF,Time Point Reference
BP41732S,EG,EPOCH,Epoch
BP41732S,EG,STUDYID,Study Identifier
BP41732S,EG,USUBJID,Unique Subject Identifier
BP41732S,EG,VISIT,Visit Name
BP41732S,EG,VISITDY,Planned Study Day of Visit
BP41732S,EG,VISITNUM,Visit Number
BP41732S,EX,DOMAIN,Domain Abbreviation
BP41732S,EX,EPOCH,Epoch
BP41732S,EX,EXADJ,Reason for Dose Adjustment
BP41732S,EX,EXDOSE,Dose
BP41732S,EX,EXDOSFRM,Dose Form
BP41732S,EX,EXDOSFRQ,Dosing Frequency per Interval
BP41732S,EX,EXDOSU,Dose Units
BP41732S,EX,EXENDTC,End Date/Time of Treatment
BP41732S,EX,EXENDY,Study Day of End of Treatment
BP41732S,EX,EXLAT,Laterality
BP41732S,EX,EXLNKGRP,Link Group ID
BP41732S,EX,EXLNKID,Link ID
BP41732S,EX,EXLOC,Location of Dose Administration
BP41732S,EX,EXROUTE,Route of Administration
BP41732S,EX,EXSEQ,Sequence Number
BP41732S,EX,EXSPID,Sponsor-Defined Identifier
BP41732S,EX,EXSTDTC,Start Date/Time of Treatment
BP41732S,EX,EXSTDY,Study Day of Start of Treatment
BP41732S,EX,EXTRT,Name of Treatment
BP41732S,EX,STUDYID,Study Identifier
BP41732S,EX,USUBJID,Unique Subject Identifier
BP41732S,EX,VISIT,Visit Name
BP41732S,EX,VISITDY,Planned Study Day of Visit
BP41732S,EX,VISITNUM,Visit Number
BP41732S,FA,DOMAIN,Domain Abbreviation
BP41732S,FA,EPOCH,Epoch
BP41732S,FA,FABLFL,Baseline Flag
BP41732S,FA,FACAT,Category for Findings About
BP41732S,FA,FADTC,Date/Time of Collection
BP41732S,FA,FADY,Study Day of Collection
BP41732S,FA,FAECADJ,Reason for Dose Modification
BP41732S,FA,FAENDTC,End Date/Time of Observation
BP41732S,FA,FAENDY,Study Day of End of Observation
BP41732S,FA,FAGRPID,Group ID
BP41732S,FA,FAOBJ,Object of the Observation
BP41732S,FA,FAORRES,Result or Finding in Original Units
BP41732S,FA,FAORRESU,Original Units
BP41732S,FA,FAREFID,Reference ID
BP41732S,FA,FASEQ,Sequence Number
BP41732S,FA,FASPID,Sponsor-Defined Identifier
BP41732S,FA,FASTDTC,Start Date/Time of Observation
BP41732S,FA,FASTDY,Study Day of Start of Observation
BP41732S,FA,FASTRESC,Character Result/Finding in Std Format
BP41732S,FA,FASTRESN,Numeric Result/Finding in Standard Units
BP41732S,FA,FASTRESU,Standard Units
BP41732S,FA,FATEST,Findings About Test Name
BP41732S,FA,FATESTCD,Findings About Test Short Name
BP41732S,FA,STUDYID,Study Identifier
BP41732S,FA,USUBJID,Unique Subject Identifier
BP41732S,FA,VISIT,Visit Name
BP41732S,FA,VISITDY,Planned Study Day of Visit
BP41732S,FA,VISITNUM,Visit Number
BP41732S,HO,DOMAIN,Domain Abbreviation
BP41732S,HO,EPOCH,Epoch
BP41732S,HO,HOCAT,Category for Healthcare Encounter
BP41732S,HO,HODECOD,Dictionary-Derived Term
BP41732S,HO,HOENDTC,End Date/Time of Healthcare Encounter
BP41732S,HO,HOENDY,Study Day of End of Healthcare Encounter
BP41732S,HO,HOENRTPT,End Relative to Reference Time Point
BP41732S,HO,HOGRPID,Group ID
BP41732S,HO,HOOCCUR,Healthcare Encounter Occurrence
BP41732S,HO,HOPRESP,Pre-Specified Healthcare Encounter
BP41732S,HO,HOSEQ,Sequence Number
BP41732S,HO,HOSPID,Sponsor-Defined Identifier
BP41732S,HO,HOSTDTC,Start Date/Time of Healthcare Encounter
BP41732S,HO,HOSTDY,Study Day of Start of Observation
BP41732S,HO,HOTERM,Reported Term for Healthcare Encounter
BP41732S,HO,STUDYID,Study Identifier
BP41732S,HO,USUBJID,Unique Subject Identifier
BP41732S,LB,DOMAIN,Domain Abbreviation
BP41732S,LB,EPOCH,Epoch
BP41732S,LB,LBBLFL,Baseline Flag
BP41732S,LB,LBCAT,Category for Lab Test
BP41732S,LB,LBCLSIG,Clinically Significant
BP41732S,LB,LBCVNRHI,Reference Range Upper Limit-US CV Units
BP41732S,LB,LBCVNRLO,Reference Range Lower Limit-US CV Units
BP41732S,LB,LBCVRESC,Character Result/Finding in US CV Format
BP41732S,LB,LBCVRESU,US Conventional Units
BP41732S,LB,LBDTC,Date/Time of Specimen Collection
BP41732S,LB,LBDY,Study Day of Specimen Collection
BP41732S,LB,LBELTM,Planned Elapsed Time from Time Point Ref
BP41732S,LB,LBFAST,Fasting Status
BP41732S,LB,LBLOINC,LOINC Code
BP41732S,LB,LBMETHOD,Method of Test or Examination
BP41732S,LB,LBNAM,Vendor Name
BP41732S,LB,LBNRIND,Reference Range Indicator
BP41732S,LB,LBORNRHI,Reference Range Upper Limit in Orig Unit
BP41732S,LB,LBORNRLO,Reference Range Lower Limit in Orig Unit
BP41732S,LB,LBORRES,Result or Finding in Original Units
BP41732S,LB,LBORRESU,Original Units
BP41732S,LB,LBREASND,Reason Test Not Done
BP41732S,LB,LBREFID,Specimen ID
BP41732S,LB,LBRFTDTC,Date/Time of Reference Time Point
BP41732S,LB,LBSEQ,Sequence Number
BP41732S,LB,LBSMPLID,Alternate Sample Identifier
BP41732S,LB,LBSPCCND,Specimen Condition
BP41732S,LB,LBSPEC,Specimen Type
BP41732S,LB,LBSPID,Sponsor-Defined Identifier
BP41732S,LB,LBSTAT,Completion Status
BP41732S,LB,LBSTNRHI,Reference Range Upper Limit-Std Units
BP41732S,LB,LBSTNRLO,Reference Range Lower Limit-Std Units
BP41732S,LB,LBSTRESC,Character Result/Finding in Std Format
BP41732S,LB,LBSTRESN,Numeric Result/Finding in Standard Units
BP41732S,LB,LBSTRESU,Standard Units
BP41732S,LB,LBTEST,Lab Test or Examination Name
BP41732S,LB,LBTESTCD,Lab Test or Examination Short Name
BP41732S,LB,LBTPT,Planned Time Point Name
BP41732S,LB,LBTPTNUM,Planned Time Point Number
BP41732S,LB,LBTPTREF,Time Point Reference
BP41732S,LB,STUDYID,Study Identifier
BP41732S,LB,USUBJID,Unique Subject Identifier
BP41732S,LB,VISIT,Visit Name
BP41732S,LB,VISITDY,Planned Study Day of Visit
BP41732S,LB,VISITNUM,Visit Number
BP41732S,MH,DOMAIN,Domain Abbreviation
BP41732S,MH,EPOCH,Epoch
BP41732S,MH,MHBDSYCD,Body System or Organ Class Code
BP41732S,MH,MHBODSYS,Body System or Organ Class
BP41732S,MH,MHCAT,Category for Medical History
BP41732S,MH,MHDECOD,Dictionary-Derived Term
BP41732S,MH,MHDTC,Date/Time of History Collection
BP41732S,MH,MHDY,Study Day of History Collection
BP41732S,MH,MHENDTC,End Date/Time of Medical History Event
BP41732S,MH,MHENDY,Study Day of End of Observation
BP41732S,MH,MHENRTPT,End Relative to Reference Time Point
BP41732S,MH,MHENTPT,End Reference Time Point
BP41732S,MH,MHGRPID,Group ID
BP41732S,MH,MHHLGT,High Level Group Term
BP41732S,MH,MHHLGTCD,High Level Group Term Code
BP41732S,MH,MHHLT,High Level Term
BP41732S,MH,MHHLTCD,High Level Term Code
BP41732S,MH,MHLLT,Lowest Level Term
BP41732S,MH,MHLLTCD,Lowest Level Term Code
BP41732S,MH,MHMODIFY,Modified Reported Term
BP41732S,MH,MHOCCUR,Medical History Occurrence
BP41732S,MH,MHPRESP,Medical History Event Pre-Specified
BP41732S,MH,MHPTCD,Preferred Term Code
BP41732S,MH,MHSEQ,Sequence Number
BP41732S,MH,MHSOC,Primary System Organ Class
BP41732S,MH,MHSOCCD,Primary System Organ Class Code
BP41732S,MH,MHSPID,Sponsor-Defined Identifier
BP41732S,MH,MHSTDTC,Start Date/Time of Medical History Event
BP41732S,MH,MHSTDY,Study Day of Start of Observation
BP41732S,MH,MHSTRTPT,Start Relative to Reference Time Point
BP41732S,MH,MHSTTPT,Start Reference Time Point
BP41732S,MH,MHTERM,Reported Term for the Medical History
BP41732S,MH,STUDYID,Study Identifier
BP41732S,MH,USUBJID,Unique Subject Identifier
BP41732S,MH,VISIT,Visit Name
BP41732S,MH,VISITDY,Planned Study Day of Visit
BP41732S,MH,VISITNUM,Visit Number
BP41732S,ML,DOMAIN,Domain Abbreviation
BP41732S,ML,EPOCH,Epoch
BP41732S,ML,MLCAT,Category for Meal
BP41732S,ML,MLCMPYN,Did Subject complete the meal?
BP41732S,ML,MLDTC,Date/Time of Collection
BP41732S,ML,MLDY,Study Day of Visit/Collection/Exam
BP41732S,ML,MLENDTC,End Date/Time of Meal
BP41732S,ML,MLENDY,Study Day of End of Meal
BP41732S,ML,MLRFTDTC,Date/Time of Reference Time Point
BP41732S,ML,MLSEQ,Sequence Number
BP41732S,ML,MLSPID,Sponsor-Defined Identifier
BP41732S,ML,MLSTDTC,Start Date/Time of Meal
BP41732S,ML,MLSTDY,Study Day of Start of Meal
BP41732S,ML,MLTPT,Planned Time Point Name
BP41732S,ML,MLTPTNUM,Planned Time Point Number
BP41732S,ML,MLTPTREF,Time Point Reference
BP41732S,ML,MLTRT,Reported Name of Meal
BP41732S,ML,STUDYID,Study Identifier
BP41732S,ML,USUBJID,Unique Subject Identifier
BP41732S,ML,VISIT,Visit Name
BP41732S,ML,VISITDY,Planned Study Day of Visit
BP41732S,ML,VISITNUM,Visit Number
BP41732S,PC,DOMAIN,Domain Abbreviation
BP41732S,PC,EPOCH,Epoch
BP41732S,PC,PCANLDTC,Date/Time of Specimen or Sample Analysis
BP41732S,PC,PCCAT,Test Category
BP41732S,PC,PCDTC,Date/Time of Specimen Collection
BP41732S,PC,PCDTCA,Actual Date/Time of Specimen Collection
BP41732S,PC,PCDY,Actual Study Day of Specimen Collection
BP41732S,PC,PCDYA,Actual Study Day of Specimen Collection
BP41732S,PC,PCELTM,Planned Elapsed Time from Time Point Ref
BP41732S,PC,PCENDTC,End Date/Time of Specimen Collection
BP41732S,PC,PCENDTCA,Actual End Date/Time of Specimen Collection Actual
BP41732S,PC,PCENDY,Study Day of End of Observation
BP41732S,PC,PCENDYA,Actual Study Day of End of Observation
