Variable Name,Variable Label,Type,Codelist/ Controlled Terms,Core,CDISC Notes,Sort Core
ROUTE,Route,Char,(ROUTE),Perm,Route of treatment delivery. This variable can be a copy of EX.EXROUTE or EC.ECROUTE. May instead be derived from the EX.EXROUTE or EC.ECROUTE.,C
TMPCTDF,Percent Diff. Nominal vs. Actual Time,Num,,Perm,This is the percent difference between nominal and actual time. It is derived by using the standard percent difference formula: 100*( NRRLT - ARRLT)/( NRRLT).,C
TRTRINT,Planned Treatment Interval,Num,,Perm,"Planned time between 2 consecutive treatments in multiple-dose studies (sometimes referred to as ""Tau"")",C
TRTRINTU,Planned Treatment Interval Units,Char,(UNIT),Perm,Units associated with TRTRINT,C
DOSEA,Actual Treatment Dose,Num,,Req,DOSEA represents the actual treatment dosage associated with the record. This is the actual numeric amount of the dose used for the NCA analysis and may differ from the EX.EXDOSE.,A
DOSEU,Treatment Dose Units,Char,(UNIT),Req,"The units for DOSEP and DOSEA. It is permissible to use suffixes such as ""P"" and ""A"" to record different units for DOSEP and DOSEA, with labels modified accordingly.",A
AVISIT,Analysis Visit,Char,,Req,"The analysis visit description; required if an analysis is done by nominal, assigned or analysis visit. AVISIT may contain the visit names as observed (i.e., from SDTM VISIT), derived visit names, time window names, conceptual descriptions (such as Average, Endpoint, etc.), or a combination of any of these. AVISIT is a derived field and does not have to map to VISIT from the SDTM. AVISIT represents the analysis visit of the record, but it does not mean that the record was analyzed. There are often multiple records for the same subject and parameter that have the same value of AVISIT. ANLzzFL and other variables may be needed to identify the records selected for any given analysis. See ADaMIG v1.2, Section 3.3.8, for information about flag variables. AVISIT should be unique for a given analysis visit window. In the event a record does not fall within any predefined analysis time- point window, AVISIT can be populated in any way that the producer chooses to indicate this fact (i.e., blank or ""Not Windowed""). The way that AVISIT is calculated, including the variables used in its derivation, should be indicated in the variable metadata for AVISIT. The values and the rules for deriving AVISIT may be different for different parameters within the same dataset. Values of AVISIT are producer-defined and are often directly usable in clinical study report (CSR) displays.",A
STUDYID,Study Identifier,Char,,Req,DM.STUDYID,A
USUBJID,Unique Subject Identifier,Char,,Req,DM.USUBJID,A
SUBJID,Subject Identifier for the Study,Char,,Req,"DM.SUBJID. SUBJID is required in ADSL, but permissible in other datasets.",A
SITEID,Study Site Identifier,Char,,Req,"DM.SITEID. SITEID is required in ADSL, but permissible in other datasets.",A
AGE,Age,Num,,Req,"DM.AGE. If analysis needs require a derived age that does not match DM.AGE, then AAGE must be added",A
AAGE,Analysis Age,Num,,Cond,Age used for analysis that may be derived differently than DM.AGE. AAGE is required if age is calculated differently than DM.AGE.,B
AGEU,Age Units,Char,(AGEU),Req,DM.AGEU,A
SEX,Sex,Char,(SEX),Req,DM.SEX,A
RACE,Race,Char,(RACE),Req,DM.RACE,A
TRTP,Planned Treatment,Char,,Cond,"TRTP is a record-level identifier that represents the planned treatment attributed to a record for analysis purposes. TRTP indicates how treatment varies by record within a subject and enables analysis of crossover and other designs. Though there is no requirement that TRTP will correspond to the TRTxxP as defined by the record's value of APERIOD, if populated, TRTP must match at least one value of the character planned treatment variables in ADSL (e.g., TRTxxP, TRTSEQP, TRxxPGy).
As noted previously, at least one treatment variable is required even in non-randomized trials. This requirement is satisfied by any subject-level or record-level treatment variables (e.g., TRTxxP, TRTP, TRTA). Even if not used for analysis, any ADSL treatment variable may be included in the BDS dataset.",B
TRTPN,Planned Treatment (N),Num,,Perm,"Numeric representation of TRTP. There must be a one-to-one relationship between TRTPN and TRTP within a study.
TRTPN cannot be present unless TRTP is also present. When TRTP and TRTPN are present, then on a given record, either both must be populated or both must be null.",C
TRTA,Actual Treatment,Char,,Cond,"TRTA is a record-level identifier that represents the actual treatment attributed to a record for analysis purposes. TRTA indicates how treatment varies by record within a subject and enables analysis of crossover and other multi-period designs. Though there is no requirement that TRTA will correspond to the TRTxxA as defined by the record's value of APERIOD, TRTA must match at least one value of the character actual treatment variables in ADSL (e.g., TRTxxA, TRTSEQA, TRxxAGy).
As noted previously, at least one treatment variable is required. This requirement is satisfied by any subject-level or record-level treatment variables (e.g., TRTxxP, TRTP, TRTA). Even if not used for analysis, any ADSL treatment variable may be included in the BDS dataset.",B
TRTAN,Actual Treatment (N),Num,,Perm,"Numeric representation of TRTA. There must be a one-to-one relationship between TRTAN and TRTA within a study.
TRTAN cannot be present unless TRTA is also present. When TRTA and TRTAN are present, then on a given record, either both must be populated or both must be null.",C
APERIOD,Period,Num,,Cond,PERIOD is a record-level timing variable that represents the analysis period within the study associated with the record for analysis purposes. The value of APERIOD (if populated) must be one of the xx values found in the ADSL TRTxxP variable names. APERIOD is required if ASPER is present. APERIOD must be populated on all records where ASPER is populated.,B
APERIODIC,Period (C),Num,,Cond,"Text characterizing to which analysis period the record belongs. There must be a one-to-one relationship between APERIODC and APERIOD within a study.
APERIODC cannot be present unless APERIOD is also present. When APERIOD and APERIODC are present, then on a given record, either both must be populated or both must be null.",B
AVISITN,Analysis Visit (N),Num,,Perm,"umeric representation of AVISIT. Since study visits are usually defined by certain timepoints, defining AVISITN so that it represents the timepoint associated with the visit can facilitate plotting and interpretation of the values. Alternatively, AVISITN may be a protocol visit number, a cycle number, an analysis visit number, or any other number logically related to AVISIT or useful for sorting that is needed for analysis.
There must be a one-to-one relationship between AVISITN and AVISIT (i.e., AVISITN has the same value for each distinct AVISIT) within a parameter. A best practice is to extend the one-to-one relationship to within a study, but this is not an ADaM requirement. In the event that a record does not fall within any predefined analysis timepoint window, AVISITN can be populated in any way that the producer chooses to indicate this fact (e.g., may be null). Values of AVISITN are producer-defined.
AVISITN cannot be present unless AVISIT is also present. On a given record, AVISITN cannot be populated if AVISIT is null. AVISITN can be null when AVISIT is populated, as long as the one-to-one relationship is maintained within a parameter on all rows on which both variables are populated.",C
ADT,Analysis Date,Num,,Cond,The date accociated with AVAL and/or AVALC in numeric format,B
ATM,Analysis Time,Num,,Cond,The time associated with AVAL and/or AVALC in numeric format,B
ADTM,Analysis Datetime,Num,,Cond,The datetime associated with AVAL and/or AVALC in numeric format,B
ASTDT,Analysis Start Date,Num,,Cond,"The start date associated with AVAL and/or AVALC. ASTDT and AENDT may be useful for traceability when AVAL summarizes data collected over an interval of time, or when AVAL is a duration.",B
ASTTM,Analysis Start Time,Num,,Cond,"The start time associated with AVAL and/or AVALC. ASTTM and AENTM may be useful for traceability when AVAL summarizes data collected over an interval of time, or when AVAL is a duration.",B
ASTDTM,Analysis Start Datetime,Num,,Cond,"The start datetime associated with AVAL and/or AVALC. ASTDTM and AENDTM may be useful for traceability when AVAL summarizes data collected over an interval of time, or when AVAL is a duration.",B
AENDT,Analysis End Date,Num,,Cond,The end date associated with AVAL and/or AVALC. See also ASTDT.,B
AENTM,Analysis End Time,Num,,Cond,The end time associated with AVAL and/or AVALC. See also ASTTM.,B
AENDTM,Analysis End Datetime,Num,,Cond,The end datetime associated with AVAL and/or AVALC. See also ASTDT.,B
ATPT,Analysis Timepoint,Char,,Cond,"The analysis timepoint description; required if an analysis is done by nominal, assigned or analysis timepoint (instead of or in addition to by-visit). Timepoints are relative to ATPTREF. ATPT may contain the timepoint names as observed (i.e., from SDTM --TPT), derived timepoint names, time window names, conceptual descriptions (such as Average, Endpoint, etc.), or a combination of any of these. This variable is often used in conjunction with AVISIT. ATPT represents the analysis timepoint of the record.",B
ATPTN,Analysis Timepoint (N),Num,,Perm,"The analysis timepoint description; required if an analysis is done by nominal, assigned or analysis timepoint (instead of or in addition to by-visit). Timepoints are relative to ATPTREF. ATPT may contain the timepoint names as observed (i.e., from SDTM --TPT), derived timepoint names, time window names, conceptual descriptions (such as Average, Endpoint, etc.), or a combination of any of these. This variable is often used in conjunction with AVISIT. ATPT represents the analysis timepoint of the record.",C
PARAM,Parameter,Char,,Req,"The description of the analysis parameter. PARAM must include all descriptive and qualifying information relevant to the analysis purpose of the parameter.
Some examples are: ""Supine Systolic Blood Pressure (mm Hg)"", ""Log10 (Weight (kg))"", ""Time to First Hypertension Event (Days)"", and ""Estimated Tumor Growth Rate"". PARAM should be sufficient to describe unambiguously the contents of AVAL and/or AVALC.
Examples of qualifying information that might be relevant to analysis, and are therefore candidates for inclusion in PARAM, are units, specimen type, location, position, machine type, and transformation function. There is no need to include qualifiers that are not relevant to the analysis of PARAM. In contrast to SDTM --TEST, no additional variable is needed to further qualify PARAM.
PARAM is restricted to a maximum of 200 characters. If the value of PARAM will be used as a variable label in a transposed dataset, then the producer may wish to limit the value of PARAM to 40 characters. Such limitation to 40 characters should not compromise the integrity of the description.
PARAM is often directly usable in Clinical Study Report displays. Note that in the ADaMIG, ""parameter"" is a synonym of ""analysis parameter.""
PARAM must be present and populated on every record in a BDS dataset.",A
PARAMCD,Parameter Code,Char,,Req,"The short name of the analysis parameter in PARAM. The values of PARAMCD must be no more than 8 characters in length, start with a letter (not underscore), and be comprised only of letters (A-Z), underscore (_), and numerals (0-9). These constraints will allow for a BDS dataset to be transposed in such a way that the values of PARAMCD can be used as valid ADaM variable names per Section 3.1.1, General Variable Conventions. There must be a one-to-one relationship between PARAM and PARAMCD within a dataset.
PARAMCD must be present and populated on every record in a BDS dataset.",A
PARAMN,Parameter (N),Num,,Perm,"Numeric representation of PARAM. Useful for ordering and programmatic manipulation. There must be a one-to-one relationship between PARAM and PARAMN within a dataset for all parameters where PARAMN is populated.
if PARAMN is populated on any record for a PARAM, it must be populated on every record for that PARAM.",C
AVAL,Analysis Value,Num,,Cond,"Numeric analysis value described by PARAM. On a given record, it is permissible for AVAL, AVALC, or both to be null. AVAL is required if AVALC is not present, since either AVAL or AVALC must be present in the dataset.",B
DTYPE,Derivation Type,Char,(DTYPE),Cond,"Analysis value derivation method. DTYPE is used to denote, and must be populated, when the value of AVAL or AVALC has been imputed or derived differently than the other analysis values within the parameter. DTYPE is required to be populated even if AVAL and AVALC are null on the derived record.
Three common situations when DTYPE should be populated:
• A new row is added within a parameter with the analysis value populated based on other rows within the parameter.
• A new row is added within a parameter with the analysis value populated based on a constant value or data from other subjects.
• An analysis value (AVAL or AVALC) on an existing record is being replaced with a value based on a pre-specified algorithm.
DTYPE is used to denote analysis values that are ""special cases"" within a parameter. For each value of DTYPE, the precise derivation algorithm must be defined in analysis variable metadata, even for DTYPE values in the CDISC Controlled Terminology. The controlled terminology for DTYPE is extensible. See Section 4, Implementation Issues, Standard Solutions, and Examples for for examples of the use of DTYPE.
Some examples of DTYPE values: 
- LOCF = last observation carried forward
- WOCF = worst observation carried forward
- AVERAGE = average of values",B
BMIBL,Body Mass Index at Baseline,Num,Y,Cond,BMI at Baseline associated with the time of reference dosing.,B
BMIBLU,Body Mass Index at Baseline ,Char,,Perm,Unit of BMIBL. ,C
HTBL,Height at Baseline,Num,,Cond,Height at baseline associated with the time of reference dosing.,B
HTBLU,Height at Baseline Unit,Char,,Perm,Unit of HTBL.,C
WTBL,Weight at Baseline,Num,,Cond,Weight at baseline associated with the time of the reference dosing.,B
WTBLU,Weight at Baseline Unit,Char,,Perm,Unit of WTBL.,C
